good_id,group_name,name,value
221329577,Основная информация,Цвет,серебристый
221329577,Общие характеристики,Гарантийный срок,12 месяцев
221329577,Питание,Питание,USB; от аккумулятора
221329577,Технические особенности,Количество режимов работы,36 режимов
221329577,Насадки,Количество насадок,10 шт.
221329577,Дополнительная информация,Тип массажера,электроимпульсный; вибромассажер
221329577,Дополнительная информация,Зона массажа,ноги; спина; тело
221329577,Дополнительная информация,Действие,снятие отечности; улучшение кровообращения; разогревающее
221329577,Дополнительная информация,Доп. опции массажера,таймер; электромиостимуляция; эффект иглоукалывания
221329577,Дополнительная информация,Страна производства,Китай
221329577,Габариты,Высота предмета,9.5 см
221329577,Габариты,Ширина предмета,7 см
221329577,Габариты,Глубина предмета,1 см
221329577,Габариты,Вес без упаковки (кг),0.07 кг
221329577,Габариты,Вес с упаковкой (кг),0.4 кг
221329577,Габариты,Длина упаковки,17 см
221329577,Габариты,Высота упаковки,9 см
221329577,Габариты,Ширина упаковки,9 см
334678554,Основная информация,Цвет,серебристый
334678554,Общие характеристики,Гарантийный срок,12 месяцев
334678554,Питание,Питание,от аккумулятора
334678554,Технические особенности,Количество режимов работы,48 режимов
334678554,Насадки,Количество насадок,16 шт.
334678554,Дополнительная информация,Тип массажера,электроимпульсный
334678554,Дополнительная информация,Зона массажа,тело
334678554,Дополнительная информация,Действие,разогревающее; коррекция фигуры; снятие отечности
334678554,Дополнительная информация,Мин. продолжительность автономной работы,1200 мин
334678554,Дополнительная информация,Доп. опции массажера,вибромассаж; электромиостимуляция; эффект иглоукалывания
334678554,Дополнительная информация,Страна производства,Китай
334678554,Габариты,Вес с упаковкой (кг),0.6 кг
334678554,Габариты,Длина упаковки,26 см
334678554,Габариты,Высота упаковки,6 см
334678554,Габариты,Ширина упаковки,19 см
221352035,Основная информация,Цвет,серебристый
221352035,Общие характеристики,Гарантийный срок,12 месяцев
221352035,Питание,Питание,от аккумулятора
221352035,Технические особенности,Количество режимов работы,36 режимов
221352035,Насадки,Количество насадок,10 шт.
221352035,Дополнительная информация,Тип массажера,электроимпульсный
221352035,Дополнительная информация,Зона массажа,тело
221352035,Дополнительная информация,Действие,разогревающее; коррекция фигуры; снятие отечности
221352035,Дополнительная информация,Мин. продолжительность автономной работы,600 мин
221352035,Дополнительная информация,Доп. опции массажера,вибромассаж; электромиостимуляция; эффект иглоукалывания
221352035,Дополнительная информация,Страна производства,Китай
221352035,Габариты,Высота предмета,12 см
221352035,Габариты,Ширина предмета,6 см
221352035,Габариты,Глубина предмета,1 см
221352035,Габариты,Вес без упаковки (кг),0.09 кг
221352035,Габариты,Вес с упаковкой (кг),0.4 кг
221352035,Габариты,Длина упаковки,17 см
221352035,Габариты,Высота упаковки,9 см
221352035,Габариты,Ширина упаковки,9 см
91028354,Основная информация,Цвет,серый
91028354,Общие характеристики,Модель,JR309
91028354,Питание,Питание,220В (5А); 3 батарейки ААА; USB-шнур
91028354,Технические особенности,Количество режимов работы,9
91028354,Дополнительная информация,Тип массажера,миостимулятор; Массажер электрический; лечение
91028354,Дополнительная информация,Зона массажа,ноги; пресс; тело
91028354,Дополнительная информация,Действие,для массажа; для тренировки мышц; для похудения
91028354,Дополнительная информация,Доп. опции массажера,автовыключение; электромиостимуляция; Регулируемая скорость
91028354,Дополнительная информация,Комплектация,миостимулятор; тапочки - 2 шт; Перчатки - 2 шт; носки - 2 шт; нарукавники - 2 шт
91028354,Дополнительная информация,Страна производства,Китай
91028354,Габариты,Высота предмета,4 см
91028354,Габариты,Ширина предмета,10 см
91028354,Габариты,Глубина предмета,15 см
91028354,Габариты,Вес без упаковки (кг),0.15 кг
91028354,Габариты,Вес с упаковкой (кг),0.45 кг
91028354,Габариты,Длина упаковки,11 см
91028354,Габариты,Высота упаковки,10 см
91028354,Габариты,Ширина упаковки,27 см
169351017,Основная информация,Цвет,белый; синий
